form	lemma	POS	morph
ན་མོ་	ན་མོ་	X
ན་	ལ་	PART
༔		PUNCT
		
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
སྙིང་	སྙིང་	NOUN
རེ་	རེ་	DET
རྗེ་	རྗེ་	NO_POS
༔		PUNCT
		
བདག་	བདག་	PRON
གི་	གི་	PART
བུ་	བུ་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
སུ་	ལ་	PART
ལ་	ལ་	PART
རེ་	རེ་	DET
༔		PUNCT
ལ་	ལ་	ADP
ས་	གིས་	PART
སུ་	ལ་	PART
དམག་	དམག་	NOUN
དང་	དང་	NO_POS
འཁྲུགས་པ་	འཁྲུགས་པ་	VERB
བྱེད་	བྱེད་	VERB
༔		PUNCT
		
དབེན་གནས་	དབེན་གནས་	OTHER
གཉན་པོ་	གཉན་པོ་	OTHER
འདྲལ་བ་	འདྲལ་བ་	NO_POS
དང་	དང་	NO_POS
༔		PUNCT
		
རི་ཀླུང་	རི་ཀླུང་	NOUN
ཇག་པ་	ཇག་པ་	NOUN
འི་	གི་	PART
རྒྱུག་	རྒྱུག་	VERB
ས་	ས་	ADP
བྱེད་	བྱེད་	VERB
༔		PUNCT
		
ཆོ་	ཆོ་	NOUN
ལ་	ལ་	PART
སྒྲུབ་	སྒྲུབ་	VERB
ལོང་	ལོང་	VERB
མེད་པ་	མེད་པ་	VERB
ས་	གིས་	PART
ན་	ལ་	PART
༔		PUNCT
བླ་མཆོད་	བླ་མཆོད་	NOUN
རྣམ་	རྣམ་	NOUN
གཉིས་	གཉིས་	NUM
འོ་	གོ་	PART
རེ་	རེ་	DET
བརྒྱལ་	བརྒྱལ་	NO_POS
༔		PUNCT
		
ཕྱིས་འབྱུང་	ཕྱིས་འབྱུང་	NO_POS
དད་	དད་	VERB
ལྡན་	ལྡན་	VERB
སྙིང་	སྙིང་	NOUN
རེ་	རེ་	DET
རྗེ་	རྗེ་	NO_POS
༔		PUNCT
གཙུག་ལག་ཁང་	གཙུག་ལག་ཁང་	NOUN
དུ་	ལ་	PART
འཁྲུགས་	འཁྲུགས་	NO_POS
ཁང་	ཁང་	NOUN
བྱེད་	བྱེད་	VERB
༔		PUNCT
		
སྐུ་གསུང་ཐུགས་	སྐུ་གསུང་ཐུགས་	NOUN
ཀྱི་	གི་	PART
རྟེན་	རྟེན་	NOUN
རྣམས་	རྣམས་	DET
བཤིག་	བཤིག་	VERB
༔		PUNCT
		
དམ་རྫས་	དམ་རྫས་	NOUN
མི་ནག་	མི་ནག་	PROPN
སྐྱེ་བོ་	སྐྱེ་བོ་	NOUN
ས་	གིས་	PART
སྤྱོད་	སྤྱོད་	VERB
༔		PUNCT
དབེན་ས་	དབེན་ས་	NOUN
ར་	ལ་	PART
བོན་	བོན་	NO_POS
གྱིས་	གིས་	PART
བསྭོ་		NON_WORD
སྒྲ་	སྒྲ་	NOUN
སྒྲོགས་	སྒྲོགས་	VERB
༔		PUNCT
		
ཆོས་འཁོར་	ཆོས་འཁོར་	NOUN
འཇིག་	འཇིག་	VERB
ལ་	ལ་	PART
ཐུག་པ་	ཐུག་པ་	VERB
ན་	ལ་	PART
༔		PUNCT
		
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
རྟེན་	རྟེན་	NOUN
རྣམས་	རྣམས་	DET
འོ་	གོ་	PART
རེ་	རེ་	DET
བརྒྱལ་	བརྒྱལ་	NO_POS
༔		PUNCT
ཆོས་འཁོར་	ཆོས་འཁོར་	NOUN
བཀའ་སྲུང་	བཀའ་སྲུང་	OTHER
སུ་	ལ་	PART
ལ་	ལ་	PART
རེ་	རེ་	DET
༔		PUNCT
ཆེ་	ཆེ་	VERB
བཙུན་	བཙུན་	VERB
ཟས་ངན་	ཟས་ངན་	NOUN
དུག་	དུག་	NOUN
གིས་	གིས་	PART
གསོད་	གསོད་	NO_POS
༔		PUNCT
		
མི་ཆེན་	མི་ཆེན་	NOUN
སྲོག་	སྲོག་	NOUN
ལ་	ལ་	PART
ཧུར་	ཧུར་	NO_POS
ཐུམ་	ཐུམ་	NO_POS
བྱེད་	བྱེད་	VERB
༔		PUNCT
		
ཡ་རབས་	ཡ་རབས་	NOUN
མནོང་པོ་	མནོང་པོ་	NON_WORD
ས་	གིས་	PART
དམངས་	དམངས་	NOUN
སུ་	ལ་	PART
འབེབས་	འབེབས་	VERB
༔		PUNCT
		
སྙིང་བརྩེ་	སྙིང་བརྩེ་	NOUN
འི་	གི་	PART
གྲོག་	གྲོག་	NOUN
ཀྱིས་	གིས་	PART
བློ་	བློ་	NOUN
བརྐུ་	བརྐུ་	NO_POS
ན་	ལ་	PART
༔		PUNCT
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
ཞང་བློན་	ཞང་བློན་	NO_POS
སྙིང་	སྙིང་	NOUN
རེ་	རེ་	DET
རྗེ་	རྗེ་	NO_POS
༔		PUNCT
		
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
གཅེ་	གཅེ་	VERB
སུ་	ལ་	PART
ལ་	ལ་	PART
རེ་	རེ་	DET
༔		PUNCT
ནད་	ནད་	NOUN
མཚོན་	མཚོན་	NOUN
མུ་གེ་	མུ་གེ་	NOUN
འི་	གི་	PART
བསྐལ་པ་	བསྐལ་པ་	NOUN
ད་	ད་	NOUN
༔		PUNCT
		
མཐའ་	མཐའ་	NOUN
ཡི་	གི་	PART
མི་	མི་	PART
བཞི་	བཞི་	NUM
དབུ་	དབུ་	NOUN
སུ་	ལ་	PART
ཤོ་	ཤོ་	NOUN
ར་	ལ་	PART
༔		PUNCT
		
འདྲེ་	འདྲེ་	NOUN
བགེགས་	བགེགས་	NOUN
འབྱུང་པོ་	འབྱུང་པོ་	NOUN
ས་	གིས་	PART
ཚ་	ཚ་	VERB
རག་	རག་	VERB
གཏོང་	གཏོང་	VERB
༔		PUNCT
		
ཅི་	ཅི་	NO_POS
མི་འདོད་པ་	མི་འདོད་པ་	NO_POS
འབྱུང་བ་	འབྱུང་བ་	VERB
ན་	ལ་	PART
༔		PUNCT
བོད་	བོད་	PROPN
འབངས་	འབངས་	NOUN
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
སྙིང་	སྙིང་	NOUN
རེ་	རེ་	DET
རྗེ་	རྗེ་	NO_POS
༔		PUNCT
		
སྐྱབས་	སྐྱབས་	NOUN
མེད་	མེད་	VERB
སེམས་ཅན་	སེམས་ཅན་	NOUN
སུ་	ལ་	PART
ལ་	ལ་	PART
རེ་	རེ་	DET
༔		PUNCT
ཁྲི་	ཁྲི་	NUM
སྲོང་	སྲོང་	NO_POS
ལྡེའུ་	ལྡེའུ་	OTHER
བཙན་	བཙན་	VERB
དགུང་	དགུང་	NOUN
ལ་	ལ་	PART
གཤེགས་	གཤེགས་	VERB
༔		PUNCT
		
གུ་རུ་	གུ་རུ་	PROPN
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
གནས་	གནས་	NOUN
ལ་	ལ་	PART
གཤེགས་	གཤེགས་	VERB
༔		PUNCT
		
མུ་	མུ་	NOUN
ཁྲི་	ཁྲི་	NUM
བཙན་པོ་	བཙན་པོ་	NOUN
བོད་	བོད་	PROPN
དུ་	ལ་	PART
བོ་	བོ་	VERB
༔		PUNCT
ཡབ་	ཡབ་	NOUN
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
སྐུ་ཚེ་	སྐུ་ཚེ་	NOUN
ཐུང་	ཐུང་	VERB
ལགས་སོ་	ལགས་སོ་	NO_POS
༔		PUNCT
		
གུ་རུ་	གུ་རུ་	PROPN
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཆུང་	ཆུང་	VERB
ལགས་སོ་	ལགས་སོ་	NO_POS
༔		PUNCT
		
བདག་	བདག་	PRON
གི་	གི་	PART
བསོད་ནམས་	བསོད་ནམས་	NOUN
ཆུང་	ཆུང་	VERB
ལགས་སོ་	ལགས་སོ་	NO_POS
༔		PUNCT
		
ཆོས་འཁོར་	ཆོས་འཁོར་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
ཉམས་	ཉམས་	NOUN
ལགས་སོ་	ལགས་སོ་	NO_POS
༔		PUNCT
བོད་	བོད་	PROPN
འབངས་	འབངས་	NOUN
སྐྱིད་པ་	སྐྱིད་པ་	VERB
ཟད་	ཟད་	VERB
ལགས་སོ་	ལགས་སོ་	NO_POS
༔		PUNCT
ཡབ་	ཡབ་	NOUN
དང་	དང་	NO_POS
གུ་རུ་	གུ་རུ་	PROPN
བཞུགས་	བཞུགས་	VERB
དུས་	དུས་	NOUN
སུ་	ལ་	PART
༔		PUNCT
		
མུ་	མུ་	NOUN
ཁྲི་	ཁྲི་	NUM
བཙན་པོ་	བཙན་པོ་	NOUN
མི་	མི་	PART
འགུམ་པ་	འགུམ་པ་	VERB
༔		PUNCT
		
བདག་	བདག་	PRON
གི་	གི་	PART
བློ་	བློ་	NOUN
གཏད་	གཏད་	VERB
སུ་	ལ་	PART
ལ་	ལ་	PART
འཆའ་	འཆའ་	NO_POS
༔		PUNCT
		
སྙིང་བརྩེ་	སྙིང་བརྩེ་	NOUN
འི་	གི་	PART
གྲོ་	གྲོ་	NOUN
ནི་	ནི་	NO_POS
སུ་	ལ་	PART
ཡི་	གིས་	PART
འདེབས་	འདེབས་	VERB
༔		PUNCT
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
ནི་	ནི་	NO_POS
སུ་	ལ་	PART
ལ་	ལ་	PART
ཞུ་	ཞུ་	VERB
༔		PUNCT
		
འཆི་དུས་	འཆི་དུས་	NO_POS
འཕོ་བ་	འཕོ་བ་	VERB
སུ་	ལ་	PART
ཡི་	གིས་	PART
འདེབས་	འདེབས་	VERB
༔		PUNCT
		
བར་དོ་	བར་དོ་	NOUN
འི་	གི་	PART
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
སུ་	ལ་	PART
ཡི་	གིས་	PART
སེལ་	སེལ་	VERB
༔		PUNCT
སྒྲིབ་	སྒྲིབ་	NOUN
སྦྱོང་	སྦྱོང་	VERB
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
སུ་	ལ་	PART
ཡི་	གིས་	PART
མཛད་	མཛད་	VERB
༔		PUNCT
ཀྱེ་མ་	ཀྱེ་མ་	INTJ
ཀྱི་ཧུད་	ཀྱི་ཧུད་	INTJ
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཆུང་	ཆུང་	VERB
༔		PUNCT
ཞེ་	ཅེས་	PART
སྨྲེ་སྔགས་	སྨྲེ་སྔགས་	NOUN
འདོན་	འདོན་	VERB
ཅིང་	ཅིང་	PART
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
དྲན་མེད་	དྲན་མེད་	ADJ
དུ་	ལ་	PART
བརྒྱལ་	བརྒྱལ་	NO_POS
ལོ་	གོ་	PART
༔		PUNCT
		
དེ་ནས་	དེ་ནས་	NO_POS
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
པདྨ་	པདྨ་	NOUN
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ཀྱིས་	གིས་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
སྙན་	སྙན་	NOUN
ཁུང་	ཁུང་	NOUN
དུ་	ལ་	PART
ལྗགས་	ལྗགས་	NOUN
ཀྱི་	གི་	PART
ཆབ་གཏོར་	ཆབ་གཏོར་	OTHER
ན་	ནས་	PART
དྲན་པ་	དྲན་པ་	VERB
གསོས་	གསོས་	VERB
༔		PUNCT
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
ཀྱི་	གི་	PART
དབུ་	དབུ་	NOUN
སྐུ་	སྐུ་	NOUN
པང་	པང་	NOUN
དུ་	ལ་	PART
བླངས་	བླངས་	VERB
ཏེ་	སྟེ་	PART
༔		PUNCT
		
འདི་སྐད་	འདི་སྐད་	NO_POS
གསུངས་	གསུངས་	VERB
སོ་	གོ་	PART
༔		PUNCT
ཉོན་	ཉོན་	VERB
ཅིག་	ཅིག་	PART
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
དད་པ་	དད་པ་	VERB
ཅན་	ཅན་	PART
༔		PUNCT
		
ལས་ཅན་	ལས་ཅན་	ADJ
མོས་གུས་	མོས་གུས་	NOUN
ལྡན་པ་	ལྡན་པ་	VERB
ང་	ང་	PRON
ཡི་	གི་	PART
བུ་	བུ་	NOUN
༔		PUNCT
ཁྲི་	ཁྲི་	NUM
སྲོང་	སྲོང་	NO_POS
ལྡེའུ་	ལྡེའུ་	OTHER
བཙན་	བཙན་	VERB
སྐུ་ཚེ་	སྐུ་ཚེ་	NOUN
མཐའ་	མཐའ་	NOUN
རུ་	ལ་	PART
འཁྱོལ་	འཁྱོལ་	NO_POS
༔		PUNCT
		
ཐུགས་	ཐུགས་	NOUN
ངལ་	ངལ་	VERB
མ་	མ་	PART
མཛད་	མཛད་	VERB
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
རྗེ་	རྗེ་	NO_POS
༔		PUNCT
བདག་	བདག་	PRON
ནི་	ནི་	NO_POS
ད་དུང་	ད་དུང་	ADV
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
དོན་	དོན་	NOUN
ལ་	ལ་	PART
མཆི་	མཆི་	NO_POS
༔		PUNCT
		
དད་པ་	དད་པ་	VERB
ཅན་	ཅན་	PART
ལ་	ལ་	PART
དངོ་	དངོ་	NOUN
སུ་	ལ་	PART
དམ་ཆོས་	དམ་ཆོས་	NOUN
སྟོན་	སྟོན་	VERB
༔		PUNCT
		
ཐུགས་	ཐུགས་	NOUN
ངལ་	ངལ་	VERB
མ་	མ་	PART
མཛད་	མཛད་	VERB
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
རྗེ་	རྗེ་	NO_POS
༔		PUNCT
ཁྱོད་	ཁྱོད་	PRON
ཀྱི་	གི་	PART
སྡིག་སྒྲིབ་	སྡིག་སྒྲིབ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
མ་ལུས་པ་	མ་ལུས་པ་	OTHER
༔		PUNCT
		
ང་	ང་	PRON
ཡི་	གི་	PART
ཞལ་	ཞལ་	NOUN
མཐོང་	མཐོང་	VERB
ཙམ་	ཙམ་	DET
ལ་	ལ་	PART
འདག་པ་	འདག་པ་	VERB
ར་	ལ་	PART
ངེས་	ངེས་	VERB
༔		PUNCT
		
ཐུགས་	ཐུགས་	NOUN
ངལ་	ངལ་	VERB
མ་	མ་	PART
མཛད་	མཛད་	VERB
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
རྗེ་	རྗེ་	NO_POS
༔		PUNCT
འདི་	འདི་	DET
དང་	དང་	NO_POS
ཕྱི་མ་	ཕྱི་མ་	ADJ
བར་དོ་	བར་དོ་	NOUN
འི་	གི་	PART
གནས་	གནས་	NOUN
གསུམ་	གསུམ་	NUM
དུ་	ལ་	PART
༔		PUNCT
		
ང་	ང་	PRON
དང་	དང་	NO_POS
ཡང་ཡང་	ཡང་ཡང་	NO_POS
མཇལ་	མཇལ་	NO_POS
ཞིང་	ཅིང་	PART
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
སེལ་	སེལ་	VERB
༔		PUNCT
		
ཐུགས་	ཐུགས་	NOUN
ངལ་	ངལ་	VERB
མ་	མ་	PART
མཛད་	མཛད་	VERB
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
རྗེ་	རྗེ་	NO_POS
༔		PUNCT
འདི་	འདི་	DET
ན་	ནས་	PART
སྐྱེ་བ་	སྐྱེ་བ་	VERB
བཅུ་དྲུག་	བཅུ་དྲུག་	NO_POS
འགྲོ་དོན་	འགྲོ་དོན་	NOUN
མཛོད་	མཛོད་	NOUN
༔		PUNCT
		
དེ་ནས་	དེ་ནས་	NO_POS
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
གླིང་	གླིང་	NOUN
དུ་	ལ་	PART
བྱོན་	བྱོན་	VERB
༔		PUNCT
		
ཐུགས་	ཐུགས་	NOUN
ངལ་	ངལ་	VERB
མ་	མ་	PART
མཛད་	མཛད་	VERB
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
རྗེ་	རྗེ་	NO_POS
༔		PUNCT
མང་ཡུལ་	མང་ཡུལ་	PROPN
གུང་	གུང་	ADV
ཐང་	ཐང་	NOUN
གངས་རི་	གངས་རི་	NOUN
འི་	གི་	PART
འདབས་	འདབས་	NOUN
འདི་རུ་	འདི་རུ་	NO_POS
༔		PUNCT
		
ཉིད་	ཉིད་	DET
ཀྱི་	གི་	PART
གདུང་	གདུང་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
ཕྱི་མ་	ཕྱི་མ་	ADJ
འབྱོན་པ་	འབྱོན་པ་	VERB
རྣམས་	རྣམས་	DET
༔		PUNCT
		
གདུང་རྒྱུད་	གདུང་རྒྱུད་	OTHER
མ་	མ་	PART
ནོར་	ནོར་	NOUN
ཆོ་	ཆོ་	NOUN
ཀྱིས་	གིས་	PART
རྒྱལ་སྲིད་	རྒྱལ་སྲིད་	NOUN
སྐྱོངས་	སྐྱོངས་	VERB
༔		PUNCT
ང་	ང་	PRON
ཡི་	གི་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
འི་	གི་	PART
རྒྱུན་	རྒྱུན་	NOUN
ཆད་	ཆད་	VERB
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
གཟིགས་	གཟིགས་	VERB
༔		PUNCT
		
ཐུགས་	ཐུགས་	NOUN
ངལ་	ངལ་	VERB
མ་	མ་	PART
མཛད་	མཛད་	VERB
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
རྗེ་	རྗེ་	NO_POS
༔		PUNCT
དབེན་གནས་	དབེན་གནས་	OTHER
ཆོས་མཛད་	ཆོས་མཛད་	PROPN
དད་གུས་	དད་གུས་	NOUN
ལྡན་པ་	ལྡན་པ་	VERB
ཡི་	གིས་	PART
༔		PUNCT
		
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འི་	གི་	PART
བཀའ་	བཀའ་	NOUN
དང་	དང་	NO_POS
མཐུན་པ་	མཐུན་པ་	VERB
འི་	གི་	PART
གདུལ་བྱ་	གདུལ་བྱ་	NOUN
རྣམས་	རྣམས་	DET
༔		PUNCT
		
ང་	ང་	PRON
ཡི་	གི་	PART
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ས་	གིས་	PART
སྐྱོབ་	སྐྱོབ་	VERB
ལགས་	ལགས་	AUX
ཀྱི་	གི་	PART
༔		PUNCT
ཐུགས་	ཐུགས་	NOUN
ངལ་	ངལ་	VERB
མ་	མ་	PART
མཛད་	མཛད་	VERB
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
རྗེ་	རྗེ་	NO_POS
༔		PUNCT
སྐལ་མེད་	སྐལ་མེད་	ADJ
སྡིག་སྤྱོད་	སྡིག་སྤྱོད་	NOUN
ལོག་ལྟ་	ལོག་ལྟ་	NOUN
བདུད་	བདུད་	NOUN
ཀྱི་	གི་	PART
རིགས་	རིགས་	NOUN
༔		PUNCT
		
རྟོག་དཔྱོད་	རྟོག་དཔྱོད་	NO_POS
འགྲན་སེམས་	འགྲན་སེམས་	NO_POS
ནག་པོ་	ནག་པོ་	ADJ
འི་	གི་	PART
སེམས་ཅན་	སེམས་ཅན་	NOUN
ནི་	ནི་	NO_POS
༔		PUNCT
		
བདག་	བདག་	PRON
གིས་	གིས་	PART
མི་	མི་	PART
སྐྱོབ་	སྐྱོབ་	VERB
ལས་ངན་	ལས་ངན་	NOUN
དག་	དག་	DET
ལ་	ལ་	PART
སྤྱོད་	སྤྱོད་	VERB
༔		PUNCT
ད་ལྟ་	ད་ལྟ་	OTHER
འི་	གི་	PART
ནང་བློན་	ནང་བློན་	NOUN
ནག་པོ་	ནག་པོ་	ADJ
འདི་	འདི་	DET
རྣམས་	རྣམས་	DET
ཀྱང་	ཀྱང་	PART
༔		PUNCT
		
རྗེ་	རྗེ་	NO_POS
ཡི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
དཀྲུགས་		NON_WORD
བདག་	བདག་	PRON
གི་	གི་	PART
དམ་	གམ་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
ཉམས་	ཉམས་	NOUN
༔		PUNCT
ད་དུང་	ད་དུང་	ADV
ངན་སོང་	ངན་སོང་	NOUN
གསུམ་	གསུམ་	NUM
དུ་	ལ་	PART
ངེས་པ་		
འགྲོ་	འགྲོ་	VERB
༔		PUNCT
		
འོན་ཀྱང་	འོན་ཀྱང་	NO_POS
ང་	ང་	PRON
ཡི་	གི་	PART
ཞལ་	ཞལ་	NOUN
མཐོང་	མཐོང་	VERB
གསུང་	གསུང་	VERB
ཐོས་པ་	ཐོས་པ་	VERB
ས་	གིས་	PART
༔		PUNCT
		
ཐ་མ་	ཐ་མ་	ADJ
ལས་ངན་	ལས་ངན་	NOUN
དག་	དག་	DET
ན་	ནས་	PART
བདག་	བདག་	PRON
གི་	གི་	PART
གདུལ་བྱ་	གདུལ་བྱ་	NOUN
ར་	ལ་	PART
སྐྱེ་	སྐྱེ་	NOUN
༔		PUNCT
ཐུགས་	ཐུགས་	NOUN
ངལ་	ངལ་	VERB
མ་	མ་	PART
མཛད་	མཛད་	VERB
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
རྗེ་	རྗེ་	NO_POS
༔		PUNCT
དུས་	དུས་	NOUN
ངན་	ངན་	VERB
ཐ་མ་	ཐ་མ་	ADJ
མཐར་ཐུག་	མཐར་ཐུག་	NOUN
སླེབ་	སླེབ་	NO_POS
ཀ་རུ་	ཀ་རུ་	NO_POS
༔		PUNCT
		
རི་བོ་	རི་བོ་	NOUN
བཀྲ་	བཀྲ་	NO_POS
བཟང་	བཟང་	VERB
ཞེ་	ཅེས་	PART
བྱ་	བྱ་	VERB
འི་	གི་	PART
ཤ་	ཤ་	VERB
འདབས་	འདབས་	NOUN
སུ་	ལ་	PART
༔		PUNCT
		
སྦས་པ་	སྦས་པ་	VERB
འི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
གཅིག་	གཅིག་	NUM
གི་	གི་	PART
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
གྱིས་	གིས་	PART
༔		PUNCT
ང་	ང་	PRON
ཡི་	གི་	PART
གཏེར་	གཏེར་	NOUN
འདོན་	འདོན་	VERB
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
གདུང་	གདུང་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
སྐྱོབ་	སྐྱོབ་	VERB
༔		PUNCT
		
ཐུགས་	ཐུགས་	NOUN
ངལ་	ངལ་	VERB
མ་	མ་	PART
མཛད་	མཛད་	VERB
ལྷ་སྲས་	ལྷ་སྲས་	NOUN
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
རྗེ་	རྗེ་	NO_POS
༔		PUNCT
དུས་	དུས་	NOUN
ངན་	ངན་	VERB
ཐ་མ་	ཐ་མ་	ADJ
འི་	གི་	PART
སེམས་ཅན་	སེམས་ཅན་	NOUN
ཟོག་པོ་	ཟོག་པོ་	NOUN
ས་	གིས་	PART
འདུལ་	འདུལ་	NO_POS
༔		PUNCT
		
དེ་	སྟེ་	PART
ཡི་	གི་	PART
སྐྱོན་	སྐྱོན་	NOUN
གྱིས་	གིས་	PART
ལོག་ལྟ་	ལོག་ལྟ་	NOUN
འི་	གི་	PART
འདམ་	འདམ་	NO_POS
ལ་	ལ་	PART
ཚུད་	ཚུད་	VERB
༔		PUNCT
		
ཆོ་	ཆོ་	NOUN
དང་	དང་	NO_POS
ཆོ་	ཆོ་	NOUN
འདྲ་	འདྲ་	VERB
མི་	མི་	PART
བྱེད་	བྱེད་	VERB
ཐེ་ཚོམ་	ཐེ་ཚོམ་	NOUN
ཆེ་	ཆེ་	VERB
